dates,Policy rate,Inflation,Inflation expectation
1969-01-01,,,
1969-02-01,,,
1969-03-01,,,
1969-04-01,,,
1969-05-01,,,
1969-06-01,,,
1969-07-01,,,
1969-08-01,,,
1969-09-01,,,
1969-10-01,,,
1969-11-01,,,
1969-12-01,,,
1970-01-01,,5.555555555555558,
1970-02-01,,5.555555555555558,
1970-03-01,,5.555555555555558,
1970-04-01,,5.555555555555558,
1970-05-01,,0.0,
1970-06-01,,5.555555555555558,
1970-07-01,,5.555555555555558,
1970-08-01,,5.555555555555558,
1970-09-01,,11.111111111111116,
1970-10-01,,11.111111111111116,
1970-11-01,,11.111111111111116,
1970-12-01,,11.111111111111116,
1971-01-01,,10.526315789473673,
1971-02-01,,10.526315789473673,
1971-03-01,,15.789473684210531,
1971-04-01,,15.789473684210531,
1971-05-01,,15.789473684210531,
1971-06-01,,15.789473684210531,
1971-07-01,,21.052631578947366,
1971-08-01,,21.052631578947366,
1971-09-01,,14.999999999999991,
1971-10-01,,14.999999999999991,
1971-11-01,,19.999999999999996,
1971-12-01,,19.999999999999996,
1972-01-01,,14.28571428571428,
1972-02-01,,19.047619047619047,
1972-03-01,,9.090909090909083,
1972-04-01,,13.636363636363624,
1972-05-01,,13.636363636363624,
1972-06-01,,13.636363636363624,
1972-07-01,,8.695652173913038,
1972-08-01,,8.695652173913038,
1972-09-01,,13.043478260869556,
1972-10-01,,13.043478260869556,
1972-11-01,,8.333333333333325,
1972-12-01,,8.333333333333325,
1973-01-01,,12.5,
1973-02-01,,8.000000000000007,
1973-03-01,,12.5,
1973-04-01,,15.999999999999993,
1973-05-01,,15.999999999999993,
1973-06-01,,15.999999999999993,
1973-07-01,,15.999999999999993,
1973-08-01,,19.999999999999996,
1973-09-01,,15.384615384615374,
1973-10-01,,19.23076923076925,
1973-11-01,,19.23076923076925,
1973-12-01,,19.23076923076925,
1974-01-01,,14.814814814814813,
1974-02-01,,14.814814814814813,
1974-03-01,,18.518518518518533,
1974-04-01,,13.793103448275868,
1974-05-01,,13.793103448275868,
1974-06-01,,13.793103448275868,
1974-07-01,,13.793103448275868,
1974-08-01,,13.333333333333353,
1974-09-01,,16.666666666666675,
1974-10-01,,16.129032258064523,
1974-11-01,,16.129032258064523,
1974-12-01,,16.129032258064523,
1975-01-01,,19.354838709677423,
1975-02-01,,22.580645161290324,
1975-03-01,,21.87499999999998,
1975-04-01,,21.212121212121215,
1975-05-01,,21.212121212121215,
1975-06-01,,21.212121212121215,
1975-07-01,,18.181818181818187,
1975-08-01,,14.705882352941169,
1975-09-01,,17.14285714285715,
1975-10-01,,16.666666666666675,
1975-11-01,,16.666666666666675,
1975-12-01,,19.444444444444443,
1976-01-01,,18.918918918918926,
1976-02-01,,18.421052631578938,
1976-03-01,,17.948717948717952,
1976-04-01,,14.999999999999991,
1976-05-01,,19.999999999999996,
1976-06-01,,12.5,
1976-07-01,,17.948717948717952,
1976-08-01,,17.948717948717952,
1976-09-01,,17.073170731707332,
1976-10-01,,16.66666666666665,
1976-11-01,,19.047619047619047,
1976-12-01,,16.279069767441868,
1977-01-01,,15.909090909090917,
1977-02-01,,13.333333333333353,
1977-03-01,,15.217391304347828,
1977-04-01,,17.391304347826075,
1977-05-01,,16.66666666666665,
1977-06-01,,22.222222222222232,
1977-07-01,,23.913043478260864,
1977-08-01,,28.260869565217384,
1977-09-01,,41.66666666666667,
1977-10-01,,40.816326530612244,
1977-11-01,,44.000000000000014,
1977-12-01,,44.000000000000014,
1978-01-01,,45.09803921568627,
1978-02-01,,49.01960784313726,
1978-03-01,,49.05660377358492,
1978-04-01,,51.85185185185184,
1978-05-01,,51.7857142857143,
